time,ids,ids_mode,satellite_id,source_ip,target_ip,target_port,ground_truth,detected,action,score,detail
192.50000000000952,S-IDS,signature,164,234.28.223.163,24.41.0.220,22,benign,0,benign_allowed,,None
194.50000000000998,S-IDS,signature,603,43.147.131.123,149.143.255.174,22,benign,0,benign_allowed,,None
194.50000000000998,S-IDS,signature,964,202.221.123.10,173.177.55.44,22,benign,0,benign_allowed,,None
195.0500000000101,S-IDS,signature,1127,207.107.44.176,192.74.153.198,22,benign,0,benign_allowed,,None
197.40000000001064,S-IDS,signature,1062,216.209.155.112,240.18.18.221,22,malicious,0,malicious_executed,,None
197.40000000001064,S-IDS,signature,268,157.91.128.219,237.27.177.42,22,malicious,0,malicious_executed,,None
197.45000000001065,S-IDS,signature,1029,61.78.202.191,134.85.4.127,22,malicious,0,malicious_executed,,None
197.45000000001065,S-IDS,signature,1094,42.27.115.196,201.150.117.237,22,malicious,0,malicious_executed,,None
197.50000000001066,S-IDS,signature,860,240.247.193.97,85.225.21.164,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
197.50000000001066,S-IDS,signature,1167,250.19.107.214,152.210.52.91,22,malicious,0,malicious_executed,,None
197.55000000001067,S-IDS,signature,1166,162.183.33.123,212.211.120.119,22,malicious,0,malicious_executed,,None
197.60000000001068,S-IDS,signature,707,85.150.253.85,78.137.176.45,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
197.60000000001068,S-IDS,signature,829,244.37.107.127,55.49.50.17,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
197.60000000001068,S-IDS,signature,762,136.180.59.60,182.214.226.210,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
197.60000000001068,S-IDS,signature,1067,14.143.216.224,186.21.12.247,22,malicious,0,malicious_executed,,None
197.60000000001068,S-IDS,signature,199,246.50.108.179,164.26.49.75,22,malicious,0,malicious_executed,,None
