time,ids,ids_mode,satellite_id,source_ip,target_ip,target_port,ground_truth,detected,action,score,detail
335.1000000000419,DL-IDS,dl,828,83.93.49.98,246.166.84.173,22,malicious,1,malicious_blocked,0.9996475577354431,'dl_score'
335.20000000004194,DL-IDS,dl,996,135.254.235.238,248.50.222.23,22,malicious,0,malicious_executed,0.47308290004730225,'dl_score'
335.30000000004196,DL-IDS,dl,1166,169.130.2.43,193.60.115.9,22,malicious,1,malicious_blocked,0.9675366878509521,'dl_score'
335.400000000042,DL-IDS,dl,1029,115.5.219.194,101.35.42.255,22,malicious,1,malicious_blocked,0.999756395816803,'dl_score'
335.60000000004203,DL-IDS,dl,341,124.144.159.114,53.194.74.180,22,benign,0,benign_allowed,0.008704790845513344,'dl_score'
335.65000000004204,DL-IDS,dl,440,25.28.176.126,115.134.19.38,22,benign,0,benign_allowed,0.2012539803981781,'dl_score'
335.70000000004205,DL-IDS,dl,407,171.73.13.104,247.65.45.22,22,malicious,0,malicious_executed,0.46302974224090576,'dl_score'
335.8000000000421,DL-IDS,dl,869,0.130.5.152,227.188.140.117,22,malicious,1,malicious_blocked,0.9845046997070312,'dl_score'
335.8500000000421,DL-IDS,dl,892,14.143.74.159,37.115.222.74,22,benign,0,benign_allowed,0.010380645282566547,'dl_score'
335.9500000000421,DL-IDS,dl,32,167.243.121.102,87.64.132.88,22,malicious,1,malicious_blocked,0.9677490592002869,'dl_score'
336.0000000000421,DL-IDS,dl,570,16.242.15.142,114.157.202.141,22,malicious,1,malicious_blocked,0.975059449672699,'dl_score'
338.25000000004263,DL-IDS,dl,1166,178.207.227.182,193.60.115.9,22,benign,0,benign_allowed,0.008992832154035568,'dl_score'
338.6500000000427,DL-IDS,dl,331,52.200.108.43,82.48.174.17,22,benign,0,benign_allowed,0.015517234802246094,'dl_score'
340.00000000004303,DL-IDS,dl,1029,115.5.219.194,101.35.42.255,22,malicious,1,malicious_blocked,0.9557427167892456,'dl_score'
340.05000000004304,DL-IDS,dl,1029,59.19.46.111,101.35.42.255,22,benign,0,benign_allowed,0.012995323166251183,'dl_score'
340.15000000004306,DL-IDS,dl,1191,78.38.113.215,173.239.166.88,22,malicious,1,malicious_blocked,0.9601569175720215,'dl_score'
340.2500000000431,DL-IDS,dl,1166,169.130.2.43,193.60.115.9,22,malicious,1,malicious_blocked,0.999632716178894,'dl_score'
340.3500000000431,DL-IDS,dl,806,171.78.89.24,188.58.18.180,22,malicious,1,malicious_blocked,0.9754818081855774,'dl_score'
340.4000000000431,DL-IDS,dl,931,71.66.213.150,87.15.164.180,22,malicious,1,malicious_blocked,0.9601569175720215,'dl_score'
340.45000000004313,DL-IDS,dl,1002,84.42.127.218,22.234.200.129,22,malicious,1,malicious_blocked,0.9675366878509521,'dl_score'
340.50000000004314,DL-IDS,dl,900,196.79.174.71,30.136.36.80,22,benign,0,benign_allowed,0.0075921290554106236,'dl_score'
340.60000000004317,DL-IDS,dl,32,167.243.121.102,87.64.132.88,22,malicious,0,malicious_executed,0.899495005607605,'dl_score'
340.7000000000432,DL-IDS,dl,332,222.128.87.137,118.1.23.251,22,malicious,1,malicious_blocked,0.9845046997070312,'dl_score'
340.7500000000432,DL-IDS,dl,332,38.117.47.156,118.1.23.251,22,benign,0,benign_allowed,0.047014810144901276,'dl_score'
340.8000000000432,DL-IDS,dl,407,171.73.13.104,247.65.45.22,22,malicious,1,malicious_blocked,0.9855155944824219,'dl_score'
341.05000000004327,DL-IDS,dl,1230,221.37.211.145,201.102.212.229,22,malicious,0,malicious_executed,0.47735682129859924,'dl_score'
341.1500000000433,DL-IDS,dl,828,83.93.49.98,246.166.84.173,22,malicious,1,malicious_blocked,0.975059449672699,'dl_score'
341.2000000000433,DL-IDS,dl,996,135.254.235.238,248.50.222.23,22,malicious,1,malicious_blocked,0.9997583627700806,'dl_score'
341.2500000000433,DL-IDS,dl,331,191.135.109.236,82.48.174.17,22,benign,0,benign_allowed,0.00699124438688159,'dl_score'
341.3000000000433,DL-IDS,dl,363,54.192.48.203,192.189.239.17,22,benign,0,benign_allowed,0.01110244169831276,'dl_score'
341.6500000000434,DL-IDS,dl,806,102.155.112.150,188.58.18.180,22,benign,0,benign_allowed,0.013013848103582859,'dl_score'
342.0000000000435,DL-IDS,dl,164,119.250.246.230,105.173.36.121,22,benign,0,benign_allowed,0.013013848103582859,'dl_score'
343.7000000000439,DL-IDS,dl,869,26.246.15.2,227.188.140.117,22,benign,0,benign_allowed,0.0088063208386302,'dl_score'
343.7500000000439,DL-IDS,dl,869,30.161.84.204,227.188.140.117,22,benign,0,benign_allowed,0.008479403331875801,'dl_score'
344.00000000004394,DL-IDS,dl,1067,252.192.18.209,99.196.194.117,22,benign,0,benign_allowed,0.007600681856274605,'dl_score'
344.05000000004395,DL-IDS,dl,1067,213.126.121.88,99.196.194.117,22,benign,0,benign_allowed,0.008187836036086082,'dl_score'
344.200000000044,DL-IDS,dl,440,233.153.52.163,115.134.19.38,22,benign,0,benign_allowed,0.00868864357471466,'dl_score'
344.250000000044,DL-IDS,dl,231,130.121.135.185,139.11.111.82,22,benign,0,benign_allowed,0.008408412337303162,'dl_score'
345.5000000000443,DL-IDS,dl,1230,221.37.211.145,201.102.212.229,22,malicious,1,malicious_blocked,0.907730221748352,'dl_score'
345.6500000000443,DL-IDS,dl,167,91.100.48.9,209.96.55.148,22,malicious,0,malicious_executed,0.899495005607605,'dl_score'
