Simulation_Time,Architecture,Train_Round,Received_Samples_Total,Used_Samples,Remaining_Buffered_Samples,Train_Loss,Test_Accuracy
13.800000000000061,cl,1,2258,2000,258,1.877856306731701,38.48
19.550000000000143,cl,2,4031,2000,31,1.543542880564928,44.64
25.300000000000225,cl,3,6036,2000,36,1.4671915043145418,49.7
33.45000000000024,cl,4,8357,2000,357,1.3625099081546068,50.52
40.44999999999984,cl,5,10281,2000,281,1.2827623654156923,53.54
47.44999999999944,cl,6,12089,2000,89,1.236147467046976,55.66
55.849999999998964,cl,7,14611,2000,611,1.2354279989376664,56.2
62.44999999999859,cl,8,16730,2000,730,1.126135801896453,57.3
68.84999999999823,cl,9,18810,2000,810,1.080711318179965,59.26
75.04999999999788,cl,10,20189,2000,189,1.040259207598865,59.64
81.8499999999975,cl,11,22689,2000,689,1.0217045042663813,59.82
88.89999999999709,cl,12,24706,2000,706,1.0545258857309818,62.08
95.44999999999672,cl,13,26412,2000,412,0.9732189998030663,63.18
102.34999999999633,cl,14,28593,2000,593,1.0031838892027736,63.42
109.09999999999594,cl,15,30633,2000,633,0.9438531678169966,63.82
115.44999999999558,cl,16,32315,2000,315,0.9303832082077861,63.76
122.39999999999519,cl,17,34424,2000,424,0.9572564670816064,64.84
129.64999999999523,cl,18,36343,2000,343,0.9058763915672898,65.06
135.94999999999666,cl,19,38361,2000,361,0.8352652308531106,65.12
143.49999999999838,cl,20,40154,2000,154,0.8796292524784803,66.34
150.85000000000005,cl,21,42296,2000,296,0.8669466935098171,65.74
160.50000000000225,cl,22,45221,2000,1221,0.8146666949614882,65.32
164.85000000000323,cl,23,46125,2000,125,0.8651151042431593,66.86
174.30000000000538,cl,24,48835,2000,835,0.8382317395880818,66.28
181.75000000000708,cl,25,51482,2000,1482,0.7539695254527032,67.56
186.2000000000081,cl,26,52586,2000,586,0.7784519596025348,67.7
193.50000000000975,cl,27,54211,2000,211,0.7425859444774687,67.74
202.9000000000119,cl,28,56233,2000,233,0.7306253267452121,67.2
208.2500000000131,cl,29,58226,2000,226,0.7499008127488196,68.36
215.3000000000147,cl,30,60295,2000,295,0.738632011692971,68.66
224.0500000000167,cl,31,62698,2000,698,0.7026409259997308,69.28
231.35000000001835,cl,32,64881,2000,881,0.6995935966260731,69.36
236.25000000001947,cl,33,66085,2000,85,0.652748002205044,69.28
244.8000000000214,cl,34,68676,2000,676,0.643876270391047,68.32
251.750000000023,cl,35,70707,2000,707,0.6499999579973519,69.36
258.6000000000245,cl,36,72816,2000,816,0.6251765680499375,68.82
265.000000000026,cl,37,74637,2000,637,0.6556043024174869,69.7
272.2500000000276,cl,38,76846,2000,846,0.5949092758819461,70.04
277.3000000000288,cl,39,78152,2000,152,0.614289179444313,70.32
286.7000000000309,cl,40,80995,2000,995,0.6131750154308975,68.72
293.40000000003243,cl,41,82705,2000,705,0.5948469368740916,70.28
300.85000000003413,cl,42,84740,2000,740,0.550525994040072,70.38
308.1500000000358,cl,43,86782,2000,782,0.5587672702968121,71.38
314.95000000003733,cl,44,88408,2000,408,0.5411334305536002,71.18
321.8000000000389,cl,45,90563,2000,563,0.4979630426969379,70.92
329.05000000004054,cl,46,92410,2000,410,0.5622473014518619,70.82
335.9500000000421,cl,47,94307,2000,307,0.45943011762574315,71.8
343.3500000000438,cl,48,96429,2000,429,0.5242278100922704,70.52
350.0000000000453,cl,49,98174,2000,174,0.4970005713403225,70.8
357.75000000004707,cl,50,100325,2000,325,0.5061298504006118,71.86
365.3000000000488,cl,51,102474,2000,474,0.49550607637502253,71.02
372.10000000005033,cl,52,104101,2000,101,0.4643503036350012,70.5
379.65000000005205,cl,53,106018,2000,18,0.4273210682440549,71.06
387.3500000000538,cl,54,108220,2000,220,0.3957209592917934,70.88
394.8500000000555,cl,55,110490,2000,490,0.42733155854512006,70.26
401.500000000057,cl,56,112969,2000,969,0.4289551470428705,71.0
408.65000000005864,cl,57,114710,2000,710,0.4155216825893149,71.46
415.80000000006027,cl,58,117003,2000,1003,0.41749395162332803,71.12
423.1000000000619,cl,59,118687,2000,687,0.3605233448324725,71.48
428.40000000006313,cl,60,120097,2000,97,0.4264927093172446,70.78
437.9000000000653,cl,61,122578,2000,578,0.37104478024411947,71.34
445.55000000006703,cl,62,124399,2000,399,0.3486253545852378,71.62
453.4000000000688,cl,63,126598,2000,598,0.3437936076661572,71.6
460.20000000007036,cl,64,128269,2000,269,0.32796360389329493,71.74
468.2000000000722,cl,65,130112,2000,112,0.3240637182025239,71.98
476.35000000007403,cl,66,132127,2000,127,0.3767837635241449,71.1
485.4500000000761,cl,67,134707,2000,707,0.319743370404467,71.9
493.55000000007794,cl,68,136680,2000,680,0.30782666875165887,72.16
501.2500000000797,cl,69,139023,2000,1023,0.33005217905156314,71.92
508.2000000000813,cl,70,140730,2000,730,0.2740831956034526,72.48
516.3000000000782,cl,71,142809,2000,809,0.2820282462053001,72.22
524.200000000071,cl,72,144942,2000,942,0.31435374345164746,71.68
531.2500000000646,cl,73,146704,2000,704,0.28672016476048157,71.92
538.3500000000581,cl,74,148651,2000,651,0.27481977199204266,71.26
546.0500000000511,cl,75,150615,2000,615,0.2634214295540005,71.74
553.8000000000441,cl,76,152717,2000,717,0.24700425006449223,72.04
560.5500000000379,cl,77,154303,2000,303,0.23357864137506112,71.7
568.150000000031,cl,78,156399,2000,399,0.23042224132223055,71.86
575.1000000000247,cl,79,158085,2000,85,0.2337821726105176,71.56
582.7500000000177,cl,80,160244,2000,244,0.24031913082581013,71.4
589.4000000000117,cl,81,162287,2000,287,0.21461284946417436,71.08
598.8500000000031,cl,82,164690,2000,690,0.2441127774072811,70.8
606.0499999999965,cl,83,166839,2000,839,0.2561034295067657,71.1
613.24999999999,cl,84,169005,2000,1005,0.22081207719747908,71.66
619.4999999999843,cl,85,170762,2000,762,0.2036437387287151,71.94
624.7999999999795,cl,86,172046,2000,46,0.18335659234435298,72.04
634.5999999999706,cl,87,175033,2000,1033,0.2072504431125708,71.96
641.5999999999642,cl,88,176987,2000,987,0.18701434845570475,71.58
649.3999999999571,cl,89,178623,2000,623,0.18805491321836598,72.16
655.8999999999512,cl,90,180444,2000,444,0.1819982776651159,71.72
663.4499999999443,cl,91,182391,2000,391,0.1541369827464223,71.38
670.9499999999375,cl,92,184561,2000,561,0.18489158700685948,72.0
677.6999999999314,cl,93,186404,2000,404,0.1640726972837001,72.48
685.0499999999247,cl,94,188672,2000,672,0.15401708049466833,72.1
690.0499999999201,cl,95,190069,2000,69,0.18568885594140738,71.62
698.6999999999123,cl,96,192543,2000,543,0.17439008250948973,72.2
703.7999999999076,cl,97,194249,2000,249,0.15326566144358367,71.38
710.6499999999014,cl,98,196377,2000,377,0.13078128176857717,72.12
721.9999999998911,cl,99,199409,2000,1409,0.12103209423366934,72.34
726.449999999887,cl,100,200421,2000,421,0.10832016353379004,72.08
733.1999999998809,cl,101,202211,2000,211,0.13646828016499057,72.1
740.3999999998744,cl,102,204146,2000,146,0.12873541691806167,72.34
746.8999999998684,cl,103,206309,2000,309,0.13600204937392846,70.92
754.1499999998618,cl,104,208098,2000,98,0.12115973065374419,71.66
761.2999999998553,cl,105,210313,2000,313,0.13491740473546088,71.26
767.8999999998493,cl,106,212022,2000,22,0.12378528242697939,71.08
775.2499999998427,cl,107,214148,2000,148,0.13702398948953487,70.68
782.4499999998361,cl,108,216254,2000,254,0.12767278846877161,70.88
788.8499999998303,cl,109,218011,2000,11,0.11404274206142873,71.5
796.0999999998237,cl,110,220033,2000,33,0.10594476769620087,71.48
805.5499999998151,cl,111,222923,2000,923,0.10547925422724802,71.64
811.9999999998092,cl,112,225100,2000,1100,0.1206697464804165,70.76
817.3499999998044,cl,113,227168,2000,1168,0.11845874319260474,71.26
820.7499999998013,cl,114,228028,2000,28,0.09500543132890016,71.62
826.2999999997962,cl,115,230116,2000,116,0.09195652922790032,71.86
831.7499999997913,cl,116,232093,2000,93,0.10117046733648749,72.18
837.1499999997864,cl,117,234191,2000,191,0.08933094911481021,71.72
842.4499999997815,cl,118,236218,2000,218,0.10604016593424603,71.44
848.0499999997764,cl,119,238177,2000,177,0.09077169492229586,72.22
853.5499999997714,cl,120,240357,2000,357,0.07665665918466402,72.32
860.9499999997647,cl,121,243238,2000,1238,0.07990398102265317,71.48
864.2999999997617,cl,122,244069,2000,69,0.10167062039545272,71.32
869.7499999997567,cl,123,246096,2000,96,0.08970558664441342,71.5
875.2499999997517,cl,124,248027,2000,27,0.07966254914936144,71.3
882.9499999997447,cl,125,251221,2000,1221,0.07581641962315189,71.02
886.3999999997416,cl,126,252052,2000,52,0.08415801302180625,71.22
893.8499999997348,cl,127,255099,2000,1099,0.09810850596841192,70.02
898.7499999997303,cl,128,256698,2000,698,0.08861350230290554,70.66
904.9499999997247,cl,129,258708,2000,708,0.09050518595176982,71.34
909.9499999997201,cl,130,260691,2000,691,0.07980469189351425,71.52
916.2999999997144,cl,131,262749,2000,749,0.0615207042574184,71.98
921.2999999997098,cl,132,264444,2000,444,0.06187531195610063,70.78
926.9499999997047,cl,133,266568,2000,568,0.07243965512316208,71.34
932.4999999996996,cl,134,268571,2000,571,0.05282873051328352,71.22
938.0999999996945,cl,135,270663,2000,663,0.06429789721005363,71.32
943.5999999996895,cl,136,272806,2000,806,0.06197391620662529,70.8
949.1999999996845,cl,137,274938,2000,938,0.06113781159365317,70.7
954.6999999996794,cl,138,276389,2000,389,0.060915209563972894,71.08
963.3499999996716,cl,139,278759,2000,759,0.06397441135777626,69.26
968.7999999996666,cl,140,280524,2000,524,0.10537343667965615,69.84
974.2499999996617,cl,141,282275,2000,275,0.10379582743917126,70.2
981.4499999996551,cl,142,284963,2000,963,0.07249589357888908,71.08
988.199999999649,cl,143,286997,2000,997,0.05826496789813973,70.72
993.8499999996438,cl,144,288935,2000,935,0.08861983838141896,70.56
