architecture,network_file,learning_file,communication_file,warmup_seconds,warmup_baseline_time_second,final_time_second,effective_duration_second,average_goodput_mbps,average_arrived_throughput_mbps,average_generated_throughput_mbps,final_average_latency_ms,mean_window_latency_ms,packet_loss_rate,resolved_packet_loss_rate,byte_loss_rate,generated_packets_after_warmup,arrived_packets_after_warmup,lost_packets_after_warmup,generated_byte_after_warmup,arrived_byte_after_warmup,lost_byte_after_warmup,total_generated_packets,total_arrived_packets,total_lost_packets,total_generated_byte,total_arrived_byte,total_lost_byte,mean_covered_users,mean_operational_satellites,learning_rounds,final_test_accuracy_percent,best_test_accuracy_percent,final_learning_time_second,final_learning_round,communication_event_rows,communication_event_counts
CL,cases/case2/experiment/output/easysatsim_result_cl_20260815_102525.csv,cases/case2/experiment/output/cl_learning_metrics.csv,cases/case2/experiment/output/cl_communication_events.csv,10,10.0,999.0,989.0,28.700438511627908,28.700438511627908,29.831344792719918,649.5741038338155,646.4310503058321,0.03141,0.03161550075490689,0.03141,300000.0,288627.0,9423.0,3687900000.0,3548091711.0,115836939.0,309000.0,290885.0,10423.0,3798537000.0,3575849305.0,128129939.0,1000.0,1584.0,144,70.56,72.48,993.8499999996438,144,601,sample_received_checkpoint:291;sample_sent_checkpoint:310
FL,cases/case2/experiment/output/easysatsim_result_fl_20260815_104257.csv,cases/case2/experiment/output/fl_learning_metrics.csv,cases/case2/experiment/output/fl_communication_events.csv,10,10.0,997.0,987.0,10.836197114488348,10.836197114488348,11.01041640526849,494.57590050109286,486.33501544513683,0.015822784810126583,0.015822784810126583,0.01582313369154484,165584.0,162964.0,2620.0,1358410124.0,1336915819.0,21494305.0,168204.0,165584.0,2620.0,1379904429.0,1358410124.0,21494305.0,1000.0,1584.0,32,61.22,61.22,987.5999999996495,32,637,global_model_received:160;global_model_sent:165;local_update_received:156;local_update_sent:156
