mode,phase,delivery_ratio_mean,delivery_ratio_std,average_hop_count_mean,average_hop_count_std
centralized,normal,0.994644566067068,0.0008662638120651552,7.960546920542178,0.023656945112926618
centralized,failure_to_refresh,0.4335542572359891,0.009541671440568623,8.008531046940359,0.08362291789060591
centralized,post_refresh,0.9990458952075038,0.001369957325464362,7.910429782501605,0.06876013137353268
distributed,normal,0.9999098737946353,0.00011020684102823763,8.061311044768306,0.03199179429568227
distributed,failure_to_refresh,0.9808654607388186,0.0019241179097289251,8.657883368892646,0.03487882280407809
distributed,post_refresh,0.9997971105701311,0.00043841349501553796,7.902273078735417,0.0695794470472234
