event_type,simulation_time,message_id,pair_id,direction,source_user_id,target_user_id,source_access_satellite_id,target_access_satellite_id,delay_ms,hop_count,path_length,path_satellite_ids,note
arrival,5.450,case3-105-5-0,5,B_to_A,105,5,,234,77.326,8,10,383 358 333 308 283 258 233 234,
arrival,5.450,case3-158-58-0,58,B_to_A,158,58,,353,61.096,7,9,383 382 381 380 379 354 353,
arrival,5.450,case3-154-54-0,54,B_to_A,154,54,,353,60.701,7,9,79 54 29 4 379 354 353,
arrival,5.450,case3-153-53-0,53,B_to_A,153,53,,234,77.637,8,10,383 358 333 308 283 258 233 234,
arrival,5.450,case3-157-57-0,57,B_to_A,157,57,,234,77.746,8,10,383 358 333 308 283 258 233 234,
arrival,5.450,case3-103-3-0,3,B_to_A,103,3,,234,104.081,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,5.450,case3-107-7-0,7,B_to_A,107,7,,234,104.389,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,5.450,case3-3-103-0,3,A_to_B,3,103,,103,104.082,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.450,case3-7-107-0,7,A_to_B,7,107,,103,104.390,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.450,case3-55-155-0,55,A_to_B,55,155,,103,104.477,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.450,case3-155-55-0,55,B_to_A,155,55,,234,104.473,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
generate,5.550,case3-9-109-0,9,A_to_B,9,109,234,383,,,,,
generate,5.600,case3-10-110-0,10,A_to_B,10,110,353,79,,,,,
generate,5.600,case3-11-111-0,11,A_to_B,11,111,234,103,,,,,
generate,5.600,case3-12-112-0,12,A_to_B,12,112,234,359,,,,,
generate,5.600,case3-13-113-0,13,A_to_B,13,113,234,383,,,,,
generate,5.600,case3-14-114-0,14,A_to_B,14,114,353,383,,,,,
generate,5.600,case3-59-159-0,59,A_to_B,59,159,234,103,,,,,
generate,5.600,case3-60-160-0,60,A_to_B,60,160,234,359,,,,,
generate,5.600,case3-61-161-0,61,A_to_B,61,161,234,383,,,,,
generate,5.600,case3-62-162-0,62,A_to_B,62,162,353,383,,,,,
generate,5.600,case3-63-163-0,63,A_to_B,63,163,234,103,,,,,
generate,5.600,case3-64-164-0,64,A_to_B,64,164,234,359,,,,,
generate,5.600,case3-109-9-0,9,B_to_A,109,9,383,234,,,,,
generate,5.600,case3-110-10-0,10,B_to_A,110,10,79,353,,,,,
generate,5.600,case3-111-11-0,11,B_to_A,111,11,103,234,,,,,
generate,5.600,case3-112-12-0,12,B_to_A,112,12,359,234,,,,,
generate,5.600,case3-113-13-0,13,B_to_A,113,13,383,234,,,,,
generate,5.600,case3-114-14-0,14,B_to_A,114,14,383,353,,,,,
generate,5.600,case3-159-59-0,59,B_to_A,159,59,103,234,,,,,
generate,5.600,case3-160-60-0,60,B_to_A,160,60,359,234,,,,,
generate,5.600,case3-161-61-0,61,B_to_A,161,61,383,234,,,,,
generate,5.600,case3-162-62-0,62,B_to_A,162,62,383,353,,,,,
generate,5.600,case3-163-63-0,63,B_to_A,163,63,103,234,,,,,
generate,5.600,case3-164-64-0,64,B_to_A,164,64,359,234,,,,,
arrival,5.600,case3-12-112-0,12,A_to_B,12,112,,359,63.848,6,8,234 259 284 309 334 359,
arrival,5.600,case3-112-12-0,12,B_to_A,112,12,,234,63.848,6,8,359 334 309 284 259 234,
arrival,5.600,case3-160-60-0,60,B_to_A,160,60,,234,63.611,6,8,359 334 309 284 259 234,
arrival,5.600,case3-164-64-0,64,B_to_A,164,64,,234,63.799,6,8,359 334 309 284 259 234,
arrival,5.600,case3-10-110-0,10,A_to_B,10,110,,79,66.122,7,9,353 378 3 28 53 78 79,
arrival,5.600,case3-14-114-0,14,A_to_B,14,114,,383,61.012,7,9,353 354 355 356 357 382 383,
arrival,5.600,case3-9-109-0,9,A_to_B,9,109,,383,83.129,8,10,234 259 284 309 334 359 384 383,
arrival,5.600,case3-13-113-0,13,A_to_B,13,113,,383,83.114,8,10,234 259 284 309 334 359 384 383,
arrival,5.600,case3-60-160-0,60,A_to_B,60,160,,359,63.610,6,8,234 259 284 309 334 359,
arrival,5.650,case3-64-164-0,64,A_to_B,64,164,,359,63.798,6,8,234 259 284 309 334 359,
arrival,5.650,case3-62-162-0,62,A_to_B,62,162,,383,61.188,7,9,353 354 355 356 357 382 383,
arrival,5.650,case3-61-161-0,61,A_to_B,61,161,,383,83.051,8,10,234 259 284 309 334 359 384 383,
arrival,5.650,case3-114-14-0,14,B_to_A,114,14,,353,60.744,7,9,383 382 381 380 379 354 353,
arrival,5.650,case3-162-62-0,62,B_to_A,162,62,,353,60.922,7,9,383 382 381 380 379 354 353,
arrival,5.650,case3-110-10-0,10,B_to_A,110,10,,353,60.838,7,9,79 54 29 4 379 354 353,
arrival,5.650,case3-109-9-0,9,B_to_A,109,9,,234,77.622,8,10,383 358 333 308 283 258 233 234,
arrival,5.650,case3-113-13-0,13,B_to_A,113,13,,234,77.606,8,10,383 358 333 308 283 258 233 234,
arrival,5.650,case3-161-61-0,61,B_to_A,161,61,,234,77.546,8,10,383 358 333 308 283 258 233 234,
arrival,5.650,case3-11-111-0,11,A_to_B,11,111,,103,104.443,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.650,case3-111-11-0,11,B_to_A,111,11,,234,104.442,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,5.650,case3-159-59-0,59,B_to_A,159,59,,234,104.074,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,5.650,case3-163-63-0,63,B_to_A,163,63,,234,104.295,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,5.650,case3-59-159-0,59,A_to_B,59,159,,103,104.074,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.650,case3-63-163-0,63,A_to_B,63,163,,103,104.295,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
generate,5.800,case3-15-115-0,15,A_to_B,15,115,234,103,,,,,
generate,5.800,case3-16-116-0,16,A_to_B,16,116,234,359,,,,,
generate,5.800,case3-17-117-0,17,A_to_B,17,117,234,383,,,,,
generate,5.800,case3-18-118-0,18,A_to_B,18,118,353,79,,,,,
generate,5.800,case3-19-119-0,19,A_to_B,19,119,234,103,,,,,
generate,5.800,case3-65-165-0,65,A_to_B,65,165,234,383,,,,,
generate,5.800,case3-66-166-0,66,A_to_B,66,166,353,383,,,,,
generate,5.800,case3-67-167-0,67,A_to_B,67,167,234,103,,,,,
generate,5.800,case3-68-168-0,68,A_to_B,68,168,234,359,,,,,
generate,5.800,case3-69-169-0,69,A_to_B,69,169,234,383,,,,,
generate,5.800,case3-115-15-0,15,B_to_A,115,15,103,234,,,,,
generate,5.800,case3-116-16-0,16,B_to_A,116,16,359,234,,,,,
generate,5.800,case3-117-17-0,17,B_to_A,117,17,383,234,,,,,
generate,5.800,case3-118-18-0,18,B_to_A,118,18,79,353,,,,,
generate,5.800,case3-119-19-0,19,B_to_A,119,19,103,234,,,,,
generate,5.800,case3-165-65-0,65,B_to_A,165,65,383,234,,,,,
generate,5.800,case3-166-66-0,66,B_to_A,166,66,383,353,,,,,
generate,5.800,case3-167-67-0,67,B_to_A,167,67,103,234,,,,,
generate,5.800,case3-168-68-0,68,B_to_A,168,68,359,234,,,,,
generate,5.800,case3-169-69-0,69,B_to_A,169,69,383,234,,,,,
arrival,5.850,case3-16-116-0,16,A_to_B,16,116,,359,63.762,6,8,234 259 284 309 334 359,
arrival,5.850,case3-68-168-0,68,A_to_B,68,168,,359,63.653,6,8,234 259 284 309 334 359,
arrival,5.850,case3-116-16-0,16,B_to_A,116,16,,234,63.762,6,8,359 334 309 284 259 234,
arrival,5.850,case3-18-118-0,18,A_to_B,18,118,,79,66.080,7,9,353 378 3 28 53 78 79,
arrival,5.850,case3-66-166-0,66,A_to_B,66,166,,383,61.225,7,9,353 354 355 356 357 382 383,
arrival,5.850,case3-17-117-0,17,A_to_B,17,117,,383,82.999,8,10,234 259 284 309 334 359 384 383,
arrival,5.850,case3-65-165-0,65,A_to_B,65,165,,383,82.945,8,10,234 259 284 309 334 359 384 383,
arrival,5.850,case3-69-169-0,69,A_to_B,69,169,,383,83.057,8,10,234 259 284 309 334 359 384 383,
arrival,5.850,case3-118-18-0,18,B_to_A,118,18,,353,60.795,7,9,79 54 29 4 379 354 353,
arrival,5.850,case3-168-68-0,68,B_to_A,168,68,,234,63.651,6,8,359 334 309 284 259 234,
arrival,5.850,case3-117-17-0,17,B_to_A,117,17,,234,77.492,8,10,383 358 333 308 283 258 233 234,
arrival,5.850,case3-166-66-0,66,B_to_A,166,66,,353,60.956,7,9,383 382 381 380 379 354 353,
arrival,5.850,case3-165-65-0,65,B_to_A,165,65,,234,77.437,8,10,383 358 333 308 283 258 233 234,
arrival,5.850,case3-169-69-0,69,B_to_A,169,69,,234,77.548,8,10,383 358 333 308 283 258 233 234,
arrival,5.850,case3-15-115-0,15,A_to_B,15,115,,103,104.156,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
